시도,시군구,합계,맑음,흐림,비,안개,눈,기타,미분류
경북,청송군,6,6,0,0,0,-,0,0
경북,영양군,3,2,0,1,0,0,0,0
경북,영덕군,11,11,0,0,-,-,0,0
경북,청도군,18,16,2,0,0,-,0,0
경북,고령군,5,4,0,1,0,-,0,0
경북,성주군,15,14,0,1,-,-,0,0
경북,칠곡군,18,17,0,1,0,0,0,0
경북,예천군,11,10,1,0,0,-,0,0
경북,봉화군,8,5,2,1,-,0,0,0
경북,울진군,12,10,1,1,-,0,0,0
경북,울릉군,1,0,1,0,-,-,0,0
경북,경산시,39,36,0,2,0,-,1,0
경남,합계,337,295,17,24,1,0,0,0
경남,마산시,0,0,0,0,-,0,0,0
경남,진주시,33,28,2,2,1,-,0,0
경남,창원시,0,0,0,0,-,-,0,0
경남,진해시,0,-,-,-,-,-,0,-
경남,통영시,12,11,0,1,-,-,0,0
경남,김해시,35,27,4,4,0,0,0,0
경남,밀양시,24,20,2,2,0,0,0,0
경남,거제시,21,17,1,3,0,-,0,0
경남,의령군,5,5,0,0,0,-,0,0
경남,함안군,17,14,0,3,0,0,0,0
경남,창녕군,19,17,1,1,-,-,0,0
경남,양산시,18,13,3,2,0,0,0,0
경남,고성군,9,9,0,0,0,-,0,0
경남,사천시,15,14,0,1,0,-,0,0
경남,남해군,3,2,1,0,-,-,0,0
경남,하동군,15,14,0,1,-,-,0,0
경남,산청군,5,5,0,0,0,-,0,0
경남,함양군,7,7,0,0,-,0,0,0
경남,거창군,15,15,0,0,-,0,0,0
경남,합천군,12,11,0,1,0,-,0,0
경남,창원시(통합),72,66,3,3,0,0,0,0
제주,합계,80,62,11,6,0,1,0,0
제주,제주시,49,35,9,4,0,1,0,0
제주,서귀포시,31,27,2,2,0,0,0,0
당사자불명,합계,0,0,0,0,0,0,0,0
당사자불명,기타/불명,0,0,0,0,0,0,0,0
,,,,,,,,,
