국적명,유학(D-2),전문학사(D-2-1),학사유학(D-2-2),석사유학(D-2-3),박사유학(D-2-4),연구유학(D-2-5),교환학생(D-2-6),일-학습연계 유학(D-2,단기유학(D-2-8),교환학생(D-2-F),일반연수(D-4),대학부설어학원연수(D,외국어연수(D-4-7)
홍콩거주난민,1,0,1,0,0,0,0,0,0,0,0,0,0
몰  디  브,0,0,0,0,0,0,0,0,0,0,1,1,0
몰  디  브,1,0,0,1,0,0,0,0,0,0,0,0,0
미      국,412,1,89,134,33,0,130,2,23,0,71,71,0
미      국,483,0,83,70,2,1,267,1,59,0,96,96,0
캐  나  다,62,0,13,19,2,0,27,1,0,0,7,7,0
캐  나  다,76,0,11,12,3,0,47,0,3,0,17,17,0
브  라  질,60,0,26,24,2,0,8,0,0,0,19,19,0
브  라  질,54,1,20,15,0,1,16,1,0,0,25,24,1
멕  시  코,61,0,8,13,7,0,32,0,1,0,14,14,0
멕  시  코,98,0,15,17,2,0,59,4,1,0,21,21,0
페      루,25,1,5,14,1,0,3,1,0,0,6,6,0
페      루,41,0,14,19,1,0,6,1,0,0,18,18,0
아르헨티나,9,0,4,1,1,0,3,0,0,0,1,1,0
아르헨티나,7,0,2,3,1,0,0,1,0,0,4,4,0
콜 롬 비 아,38,0,14,18,2,0,3,1,0,0,10,10,0
콜 롬 비 아,34,0,12,11,1,0,8,2,0,0,7,7,0
에 콰 도 르,50,0,7,32,5,0,6,0,0,0,6,6,0
에 콰 도 르,62,0,21,36,0,0,3,2,0,0,9,9,0
칠      레,4,0,1,1,1,0,1,0,0,0,2,2,0
칠      레,23,0,5,8,2,1,4,3,0,0,10,10,0
파 라 과 이,4,0,4,0,0,0,0,0,0,0,2,2,0
파 라 과 이,10,0,9,1,0,0,0,0,0,0,14,14,0
베네수엘라,3,0,1,1,0,0,1,0,0,0,4,4,0
베네수엘라,13,0,10,3,0,0,0,0,0,0,9,9,0
과 테 말 라,21,0,4,9,7,0,0,1,0,0,2,2,0
과 테 말 라,17,0,6,9,2,0,0,0,0,0,1,1,0
코스타리카,7,0,1,5,0,0,0,1,0,0,3,2,1
코스타리카,7,0,2,4,1,0,0,0,0,0,8,8,0
도미니카공화국,7,0,3,3,0,0,0,1,0,0,2,2,0
도미니카공화국,16,0,8,8,0,0,0,0,0,0,5,5,0
볼 리 비 아,7,0,4,3,0,0,0,0,0,0,6,6,0
볼 리 비 아,13,0,10,3,0,0,0,0,0,0,3,3,0
파  나  마,9,0,5,0,1,0,2,1,0,0,2,2,0
파  나  마,9,0,4,3,0,0,0,2,0,0,7,7,0
엘살바도르,5,0,2,2,1,0,0,0,0,0,3,3,0
엘살바도르,16,0,7,7,0,0,0,2,0,0,3,3,0
온 두 라 스,4,0,0,3,1,0,0,0,0,0,1,1,0
온 두 라 스,4,0,1,2,0,0,0,1,0,0,2,2,0
자 메 이 카,3,0,0,3,0,0,0,0,0,0,1,1,0
자 메 이 카,5,0,1,4,0,0,0,0,0,0,1,1,0
니 카 라 과,2,0,0,2,0,0,0,0,0,0,0,0,0
니 카 라 과,3,0,0,3,0,0,0,0,0,0,3,3,0
우 루 과 이,2,0,0,0,1,0,1,0,0,0,2,2,0
우 루 과 이,2,0,1,1,0,0,0,0,0,0,2,2,0
쿠      바,0,0,0,0,0,0,0,0,0,0,0,0,0
쿠      바,3,0,2,1,0,0,0,0,0,0,1,1,0
트리니다드토바고,2,0,0,2,0,0,0,0,0,0,0,0,0
트리니다드토바고,3,0,1,0,1,0,0,1,0,0,2,2,0
아  이  티,6,0,1,5,0,0,0,0,0,0,3,3,0
아  이  티,1,0,0,1,0,0,0,0,0,0,1,1,0
세인트크리스토퍼 네비스,0,0,0,0,0,0,0,0,0,0,0,0,0
세인트크리스토퍼 네비스,0,0,0,0,0,0,0,0,0,0,0,0,0
바  하  마,0,0,0,0,0,0,0,0,0,0,0,0,0
바  하  마,2,0,0,2,0,0,0,0,0,0,3,3,0
바베이도스,1,0,0,1,0,0,0,0,0,0,0,0,0
바베이도스,0,0,0,0,0,0,0,0,0,0,1,1,0
벨  리  즈,0,0,0,0,0,0,0,0,0,0,0,0,0
벨  리  즈,2,0,0,1,1,0,0,0,0,0,0,0,0
수  리  남,0,0,0,0,0,0,0,0,0,0,0,0,0
수  리  남,0,0,0,0,0,0,0,0,0,0,0,0,0
그 레 나 다,0,0,0,0,0,0,0,0,0,0,0,0,0
그 레 나 다,0,0,0,0,0,0,0,0,0,0,0,0,0
도미니카연방,0,0,0,0,0,0,0,0,0,0,0,0,0
도미니카연방,0,0,0,0,0,0,0,0,0,0,0,0,0
가 이 아 나,0,0,0,0,0,0,0,0,0,0,0,0,0
가 이 아 나,1,0,0,1,0,0,0,0,0,0,0,0,0
세인트루시아,0,0,0,0,0,0,0,0,0,0,0,0,0
세인트루시아,0,0,0,0,0,0,0,0,0,0,0,0,0
세인트빈센트 그레나딘,0,0,0,0,0,0,0,0,0,0,0,0,0
세인트빈센트 그레나딘,0,0,0,0,0,0,0,0,0,0,0,0,0
마르티니크,0,0,0,0,0,0,0,0,0,0,0,0,0
마르티니크,0,0,0,0,0,0,0,0,0,0,0,0,0
러시아(연방),106,4,49,24,7,2,19,1,0,0,45,45,0
러시아(연방),376,18,127,100,19,0,105,7,0,0,239,239,0
한국계 러시아인,0,0,0,0,0,0,0,0,0,0,0,0,0
한국계 러시아인,3,0,2,1,0,0,0,0,0,0,0,0,0
영      국,70,0,9,19,3,1,38,0,0,0,13,13,0
영      국,96,0,8,3,1,0,84,0,0,0,16,16,0
프  랑  스,345,0,8,25,11,0,300,1,0,0,28,28,0
프  랑  스,388,1,25,26,1,0,335,0,0,0,68,68,0
독      일,269,0,6,31,8,2,219,1,2,0,7,7,0
독      일,316,0,14,30,2,0,266,1,3,0,18,18,0
우크라이나,28,0,8,9,7,0,4,0,0,0,4,4,0
우크라이나,42,0,14,9,3,1,13,2,0,0,27,26,1
노 르 웨 이,23,0,4,6,0,0,13,0,0,0,3,3,0
노 르 웨 이,35,0,10,5,1,0,19,0,0,0,16,16,0
이 탈 리 아,32,0,7,4,2,0,17,2,0,0,5,5,0
이 탈 리 아,69,0,10,16,2,1,39,0,1,0,27,27,0
네 덜 란 드,97,0,4,14,3,0,76,0,0,0,4,4,0
네 덜 란 드,73,0,4,8,0,0,61,0,0,0,12,12,0
스  페  인,76,0,8,11,1,0,56,0,0,0,5,5,0
스  페  인,95,0,5,11,4,0,75,0,0,0,16,16,0
스  웨  덴,65,0,8,4,0,0,53,0,0,0,13,13,0
스  웨  덴,53,0,10,1,0,0,42,0,0,0,38,38,0
아 일 랜 드,3,0,0,1,0,0,1,1,0,0,2,2,0
아 일 랜 드,3,0,0,0,0,0,3,0,0,0,1,1,0
폴  란  드,28,0,2,6,8,0,12,0,0,0,0,0,0
폴  란  드,71,3,8,18,5,0,34,3,0,0,13,13,0
스  위  스,36,0,4,2,0,0,30,0,0,0,9,9,0
스  위  스,20,0,2,7,0,0,10,1,0,0,7,7,0
벨  기  에,27,0,2,4,1,0,19,1,0,0,2,2,0
벨  기  에,27,0,2,5,0,1,18,1,0,0,6,6,0
덴  마  크,41,0,2,3,0,0,35,1,0,0,0,0,0
덴  마  크,19,0,3,4,0,0,11,0,1,0,3,3,0
핀  란  드,39,0,2,5,0,0,32,0,0,0,2,2,0
핀  란  드,66,0,19,5,0,0,40,2,0,0,4,4,0
그  리  스,1,0,0,1,0,0,0,0,0,0,1,1,0
그  리  스,3,0,0,2,0,0,1,0,0,0,2,1,1
루 마 니 아,4,0,1,1,1,0,1,0,0,0,2,2,0
루 마 니 아,44,0,11,17,5,1,9,1,0,0,5,5,0
오스트리아,28,0,0,1,2,0,24,0,1,0,1,1,0
오스트리아,19,0,2,6,0,0,11,0,0,0,3,3,0
헝  가  리,11,0,2,2,2,0,5,0,0,0,0,0,0
헝  가  리,20,0,6,7,2,0,3,2,0,0,10,10,0
포 르 투 갈,2,0,1,0,0,0,0,1,0,0,0,0,0
포 르 투 갈,22,0,7,3,1,0,11,0,0,0,3,3,0
체      코,20,0,1,0,1,0,18,0,0,0,1,1,0
체      코,20,0,2,3,1,0,13,1,0,0,5,5,0
벨 로 루 시,7,0,1,3,1,1,1,0,0,0,2,2,0
벨 로 루 시,24,0,4,7,1,0,11,1,0,0,8,8,0
불 가 리 아,7,0,3,3,1,0,0,0,0,0,4,4,0
불 가 리 아,24,0,8,13,1,0,2,0,0,0,7,7,0
아제르바이잔,23,0,10,8,3,0,2,0,0,0,5,5,0
아제르바이잔,25,0,2,16,3,0,3,1,0,0,3,3,0
크로아티아,5,0,1,1,3,0,0,0,0,0,1,1,0
크로아티아,6,0,0,2,0,0,4,0,0,0,2,2,0
세르비아,1,0,0,1,0,0,0,0,0,0,3,3,0
세르비아,7,0,1,3,3,0,0,0,0,0,3,3,0
리투아니아,14,1,7,3,1,0,1,1,0,0,1,0,1
리투아니아,27,0,6,3,0,1,15,1,1,0,2,2,0
아르메니아,1,0,1,0,0,0,0,0,0,0,1,1,0
아르메니아,5,0,0,4,0,0,1,0,0,0,3,3,0
슬 로 바 크,18,6,1,3,2,0,6,0,0,0,0,0,0
슬 로 바 크,8,0,0,6,0,0,2,0,0,0,2,2,0
라 트 비 아,4,0,0,0,1,0,2,1,0,0,1,1,0
라 트 비 아,15,0,1,2,0,0,12,0,0,0,2,2,0
몰  도  바,1,0,1,0,0,0,0,0,0,0,0,0,0
몰  도  바,12,0,1,5,1,0,5,0,0,0,9,9,0
슬로베니아,4,0,0,0,0,0,4,0,0,0,0,0,0
슬로베니아,7,0,0,5,0,0,1,1,0,0,1,1,0
에스토니아,1,0,1,0,0,0,0,0,0,0,0,0,0
에스토니아,7,0,3,2,0,0,2,0,0,0,4,3,1
알 바 니 아,2,0,0,1,0,0,1,0,0,0,4,4,0
알 바 니 아,4,0,0,2,1,0,1,0,0,0,0,0,0
조 지 아,0,0,0,0,0,0,0,0,0,0,0,0,0
조 지 아,8,0,1,6,0,0,0,1,0,0,1,1,0
룩셈부르크,1,0,0,0,0,0,1,0,0,0,0,0,0
룩셈부르크,3,0,2,0,0,0,1,0,0,0,0,0,0
몰      타,1,0,0,0,0,0,1,0,0,0,0,0,0
몰      타,0,0,0,0,0,0,0,0,0,0,0,0,0
아이슬란드,2,0,0,1,0,0,1,0,0,0,0,0,0
아이슬란드,2,0,0,1,0,0,1,0,0,0,0,0,0
보스니아-헤르체고비나,1,0,0,0,0,0,1,0,0,0,0,0,0
보스니아-헤르체고비나,0,0,0,0,0,0,0,0,0,0,0,0,0
영국 외지민,0,0,0,0,0,0,0,0,0,0,0,0,0
영국 외지민,1,0,0,1,0,0,0,0,0,0,1,1,0
마케도니아,0,0,0,0,0,0,0,0,0,0,0,0,0
마케도니아,2,0,0,0,0,0,2,0,0,0,0,0,0
몬테네그로,0,0,0,0,0,0,0,0,0,0,0,0,0
몬테네그로,0,0,0,0,0,0,0,0,0,0,1,1,0
세르비아 몬테네그로,0,0,0,0,0,0,0,0,0,0,0,0,0
세르비아 몬테네그로,0,0,0,0,0,0,0,0,0,0,0,0,0
코소보,0,0,0,0,0,0,0,0,0,0,0,0,0
코소보,0,0,0,0,0,0,0,0,0,0,0,0,0
안  도  라,0,0,0,0,0,0,0,0,0,0,0,0,0
안  도  라,0,0,0,0,0,0,0,0,0,0,0,0,0
산 마 리 노,0,0,0,0,0,0,0,0,0,0,0,0,0
산 마 리 노,0,0,0,0,0,0,0,0,0,0,0,0,0
유고슬라비아,0,0,0,0,0,0,0,0,0,0,0,0,0
유고슬라비아,0,0,0,0,0,0,0,0,0,0,0,0,0
영국 외지시민,0,0,0,0,0,0,0,0,0,0,0,0,0
영국 외지시민,0,0,0,0,0,0,0,0,0,0,0,0,0
리히텐슈타인,0,0,0,0,0,0,0,0,0,0,0,0,0
리히텐슈타인,0,0,0,0,0,0,0,0,0,0,0,0,0
스 발 바 르,0,0,0,0,0,0,0,0,0,0,0,0,0
스 발 바 르,0,0,0,0,0,0,0,0,0,0,0,0,0
교황청,0,0,0,0,0,0,0,0,0,0,0,0,0
교황청,0,0,0,0,0,0,0,0,0,0,0,0,0
오스트레일리아,48,0,8,7,0,0,29,0,4,0,10,10,0
오스트레일리아,38,0,1,1,1,0,31,0,4,0,5,5,0
뉴 질 랜 드,7,0,1,2,1,0,3,0,0,0,5,5,0
뉴 질 랜 드,5,0,0,2,0,0,3,0,0,0,1,1,0
피      지,12,0,1,9,2,0,0,0,0,0,2,2,0
피      지,4,0,1,3,0,0,0,0,0,0,1,1,0
파푸아뉴기니,7,0,0,7,0,0,0,0,0,0,0,0,0
파푸아뉴기니,1,0,0,1,0,0,0,0,0,0,0,0,0
통      가,0,0,0,0,0,0,0,0,0,0,0,0,0
통      가,0,0,0,0,0,0,0,0,0,0,0,0,0
솔로몬군도,6,0,0,6,0,0,0,0,0,0,0,0,0
솔로몬군도,2,0,0,2,0,0,0,0,0,0,0,0,0
마 샬 군 도,0,0,0,0,0,0,0,0,0,0,0,0,0
마 샬 군 도,0,0,0,0,0,0,0,0,0,0,0,0,0
미이크로네시아,0,0,0,0,0,0,0,0,0,0,0,0,0
미이크로네시아,0,0,0,0,0,0,0,0,0,0,0,0,0
팔  라  우,0,0,0,0,0,0,0,0,0,0,0,0,0
팔  라  우,0,0,0,0,0,0,0,0,0,0,0,0,0
사  모  아,0,0,0,0,0,0,0,0,0,0,0,0,0
사  모  아,0,0,0,0,0,0,0,0,0,0,0,0,0
나  우  루,0,0,0,0,0,0,0,0,0,0,0,0,0
나  우  루,0,0,0,0,0,0,0,0,0,0,0,0,0
키 리 바 시,0,0,0,0,0,0,0,0,0,0,2,2,0
키 리 바 시,0,0,0,0,0,0,0,0,0,0,0,0,0
바 누 아 투,0,0,0,0,0,0,0,0,0,0,0,0,0
바 누 아 투,0,0,0,0,0,0,0,0,0,0,0,0,0
크리스마스,0,0,0,0,0,0,0,0,0,0,0,0,0
크리스마스,0,0,0,0,0,0,0,0,0,0,0,0,0
이  집  트,78,0,7,38,32,0,0,1,0,0,7,7,0
이  집  트,40,0,6,17,9,0,7,1,0,0,9,9,0
나이지리아,136,3,19,91,23,0,0,0,0,0,32,31,1
나이지리아,44,0,11,27,3,0,2,1,0,0,7,5,2
남아프리카 공화국,14,0,5,8,1,0,0,0,0,0,1,1,0
