시도,시군구,성별,총계,거주(F-2),국민배우자(F-2-1),영주(F-5),국민배우자(F-5-2),결혼이민(F-6),국민배우자(F-6-1),자녀양육(F-6-2),혼인단절(F-6-3)
경기도,남양주시,남,194,2,2,42,42,150,147,0,3
경기도,남양주시,여,"1,332",15,15,313,313,"1,004",984,7,13
경기도,동두천시,계,461,18,18,57,57,386,354,20,12
경기도,동두천시,남,101,4,4,6,6,91,81,4,6
경기도,동두천시,여,360,14,14,51,51,295,273,16,6
경기도,부천시,계,"3,042",66,66,527,527,"2,449","2,343",41,65
경기도,부천시,남,632,6,6,69,69,557,545,5,7
경기도,부천시,여,"2,410",60,60,458,458,"1,892","1,798",36,58
경기도,성남시 분당구,계,675,6,6,173,173,496,489,1,6
경기도,성남시 분당구,남,218,1,1,41,41,176,174,1,1
경기도,성남시 분당구,여,457,5,5,132,132,320,315,0,5
경기도,성남시 수정구,계,951,16,16,167,167,768,745,9,14
경기도,성남시 수정구,남,202,2,2,28,28,172,168,2,2
경기도,성남시 수정구,여,749,14,14,139,139,596,577,7,12
경기도,성남시 중원구,계,733,31,31,143,143,559,545,5,9
경기도,성남시 중원구,남,89,4,4,13,13,72,72,0,0
경기도,성남시 중원구,여,644,27,27,130,130,487,473,5,9
경기도,수원시 권선구,계,"1,237",23,23,261,261,953,907,16,30
경기도,수원시 권선구,남,257,3,3,41,41,213,211,1,1
경기도,수원시 권선구,여,980,20,20,220,220,740,696,15,29
경기도,수원시 영통구,계,561,3,3,142,142,416,397,9,10
경기도,수원시 영통구,남,112,0,0,24,24,88,86,1,1
경기도,수원시 영통구,여,449,3,3,118,118,328,311,8,9
경기도,수원시 장안구,계,711,13,13,148,148,550,529,6,15
경기도,수원시 장안구,남,122,1,1,22,22,99,94,1,4
경기도,수원시 장안구,여,589,12,12,126,126,451,435,5,11
경기도,수원시 팔달구,계,"1,115",34,34,268,268,813,746,19,48
경기도,수원시 팔달구,남,308,4,4,55,55,249,242,3,4
경기도,수원시 팔달구,여,807,30,30,213,213,564,504,16,44
경기도,시흥시,계,"2,759",30,30,481,481,"2,248","2,063",78,107
경기도,시흥시,남,506,1,1,58,58,447,430,3,14
경기도,시흥시,여,"2,253",29,29,423,423,"1,801","1,633",75,93
경기도,안산시 단원구,계,"3,202",56,56,674,674,"2,472","2,171",60,241
경기도,안산시 단원구,남,788,6,6,100,100,682,652,7,23
경기도,안산시 단원구,여,"2,414",50,50,574,574,"1,790","1,519",53,218
경기도,안산시 상록구,계,"1,575",29,29,279,279,"1,267","1,208",21,38
경기도,안산시 상록구,남,282,2,2,35,35,245,239,2,4
경기도,안산시 상록구,여,"1,293",27,27,244,244,"1,022",969,19,34
경기도,안성시,계,752,17,17,137,137,598,575,12,11
경기도,안성시,남,87,0,0,17,17,70,68,0,2
경기도,안성시,여,665,17,17,120,120,528,507,12,9
경기도,안양시 동안구,계,570,13,13,115,115,442,431,5,6
경기도,안양시 동안구,남,112,2,2,15,15,95,94,0,1
경기도,안양시 동안구,여,458,11,11,100,100,347,337,5,5
경기도,안양시 만안구,계,650,15,15,117,117,518,500,3,15
경기도,안양시 만안구,남,129,3,3,13,13,113,113,0,0
경기도,안양시 만안구,여,521,12,12,104,104,405,387,3,15
경기도,양주시,계,761,21,21,147,147,593,558,13,22
경기도,양주시,남,104,2,2,22,22,80,72,4,4
경기도,양주시,여,657,19,19,125,125,513,486,9,18
경기도,양평군,계,315,4,4,53,53,258,250,4,4
경기도,양평군,남,29,0,0,8,8,21,21,0,0
경기도,양평군,여,286,4,4,45,45,237,229,4,4
경기도,여주시,계,344,13,13,69,69,262,256,4,2
경기도,여주시,남,17,0,0,3,3,14,14,0,0
경기도,여주시,여,327,13,13,66,66,248,242,4,2
경기도,연천군,계,139,3,3,22,22,114,112,1,1
경기도,연천군,남,14,0,0,2,2,12,11,0,1
경기도,연천군,여,125,3,3,20,20,102,101,1,0
경기도,오산시,계,"1,014",9,9,223,223,782,744,21,17
경기도,오산시,남,202,1,1,41,41,160,157,1,2
경기도,오산시,여,812,8,8,182,182,622,587,20,15
경기도,용인시 기흥구,계,787,10,10,171,171,606,594,4,8
경기도,용인시 기흥구,남,174,0,0,32,32,142,141,1,0
경기도,용인시 기흥구,여,613,10,10,139,139,464,453,3,8
경기도,용인시 수지구,계,416,5,5,121,121,290,284,1,5
경기도,용인시 수지구,남,99,1,1,33,33,65,65,0,0
경기도,용인시 수지구,여,317,4,4,88,88,225,219,1,5
경기도,용인시 처인구,계,755,19,19,157,157,579,544,18,17
경기도,용인시 처인구,남,113,1,1,23,23,89,88,0,1
경기도,용인시 처인구,여,642,18,18,134,134,490,456,18,16
경기도,의왕시,계,311,7,7,76,76,228,218,4,6
경기도,의왕시,남,61,1,1,15,15,45,45,0,0
경기도,의왕시,여,250,6,6,61,61,183,173,4,6
경기도,의정부시,계,"1,057",32,32,193,193,832,812,6,14
경기도,의정부시,남,168,1,1,20,20,147,144,1,2
경기도,의정부시,여,889,31,31,173,173,685,668,5,12
경기도,이천시,계,697,14,14,166,166,517,498,6,13
경기도,이천시,남,56,0,0,10,10,46,45,0,1
경기도,이천시,여,641,14,14,156,156,471,453,6,12
경기도,파주시,계,"1,345",23,23,268,268,"1,054","1,016",14,24
경기도,파주시,남,214,3,3,44,44,167,164,1,2
경기도,파주시,여,"1,131",20,20,224,224,887,852,13,22
경기도,평택시,계,"2,117",39,39,377,377,"1,701","1,643",27,31
경기도,평택시,남,431,6,6,61,61,364,358,2,4
경기도,평택시,여,"1,686",33,33,316,316,"1,337","1,285",25,27
경기도,포천시,계,784,16,16,136,136,632,595,10,27
경기도,포천시,남,107,0,0,23,23,84,76,0,8
경기도,포천시,여,677,16,16,113,113,548,519,10,19
경기도,하남시,계,399,11,11,76,76,312,306,4,2
경기도,하남시,남,59,1,1,7,7,51,51,0,0
경기도,하남시,여,340,10,10,69,69,261,255,4,2
경기도,화성시,계,"2,464",40,40,498,498,"1,926","1,815",55,56
경기도,화성시,남,395,3,3,67,67,325,316,5,4
경기도,화성시,여,"2,069",37,37,431,431,"1,601","1,499",50,52
경상남도,소계,계,"10,003",291,291,"1,566","1,566","8,146","7,647",286,213
경상남도,소계,남,"1,150",5,0,171,0,974,0,0,0
경상남도,소계,여,"8,853",286,0,"1,395",0,"7,172",0,0,0
경상남도,거제시,계,964,12,12,142,142,810,784,13,13
경상남도,거제시,남,147,0,0,22,22,125,121,1,3
경상남도,거제시,여,817,12,12,120,120,685,663,12,10
경상남도,거창군,계,151,8,8,27,27,116,115,0,1
경상남도,거창군,남,7,0,0,1,1,6,6,0,0
경상남도,거창군,여,144,8,8,26,26,110,109,0,1
경상남도,고성군,계,225,11,11,24,24,190,181,3,6
경상남도,고성군,남,14,1,1,1,1,12,12,0,0
경상남도,고성군,여,211,10,10,23,23,178,169,3,6
경상남도,김해시,계,"1,685",19,19,272,272,"1,394","1,242",99,53
경상남도,김해시,남,258,0,0,39,39,219,216,1,2
경상남도,김해시,여,"1,427",19,19,233,233,"1,175","1,026",98,51
경상남도,남해군,계,122,12,12,15,15,95,94,0,1
경상남도,남해군,남,7,0,0,0,0,7,7,0,0
경상남도,남해군,여,115,12,12,15,15,88,87,0,1
경상남도,밀양시,계,309,8,8,46,46,255,244,4,7
경상남도,밀양시,남,15,0,0,1,1,14,14,0,0
경상남도,밀양시,여,294,8,8,45,45,241,230,4,7
경상남도,사천시,계,356,10,10,33,33,313,300,4,9
경상남도,사천시,남,37,0,0,2,2,35,33,1,1
경상남도,사천시,여,319,10,10,31,31,278,267,3,8
경상남도,산청군,계,114,10,10,11,11,93,92,0,1
경상남도,산청군,남,3,0,0,1,1,2,2,0,0
경상남도,산청군,여,111,10,10,10,10,91,90,0,1
경상남도,양산시,계,974,16,16,128,128,830,790,28,12
경상남도,양산시,남,130,0,0,10,10,120,115,4,1
경상남도,양산시,여,844,16,16,118,118,710,675,24,11
경상남도,의령군,계,105,5,5,13,13,87,85,1,1
경상남도,의령군,남,1,0,0,0,0,1,1,0,0
경상남도,의령군,여,104,5,5,13,13,86,84,1,1
경상남도,진주시,계,775,38,38,101,101,636,600,22,14
경상남도,진주시,남,97,0,0,9,9,88,86,0,2
경상남도,진주시,여,678,38,38,92,92,548,514,22,12
경상남도,창녕군,계,221,15,15,21,21,185,175,8,2
경상남도,창녕군,남,13,0,0,1,1,12,12,0,0
경상남도,창녕군,여,208,15,15,20,20,173,163,8,2
경상남도,창원시 마산합포구,계,422,15,15,65,65,342,322,7,13
경상남도,창원시 마산합포구,남,25,0,0,4,4,21,21,0,0
경상남도,창원시 마산합포구,여,397,15,15,61,61,321,301,7,13
경상남도,창원시 마산회원구,계,514,20,20,85,85,409,378,17,14
경상남도,창원시 마산회원구,남,61,0,0,12,12,49,48,0,1
경상남도,창원시 마산회원구,여,453,20,20,73,73,360,330,17,13
경상남도,창원시 성산구,계,508,12,12,143,143,353,319,20,14
경상남도,창원시 성산구,남,73,2,2,23,23,48,44,1,3
경상남도,창원시 성산구,여,435,10,10,120,120,305,275,19,11
경상남도,창원시 의창구,계,748,26,26,154,154,568,524,24,20
경상남도,창원시 의창구,남,109,1,1,19,19,89,86,3,0
경상남도,창원시 의창구,여,639,25,25,135,135,479,438,21,20
경상남도,창원시 진해구,계,552,5,5,105,105,442,412,16,14
경상남도,창원시 진해구,남,88,0,0,13,13,75,74,1,0
경상남도,창원시 진해구,여,464,5,5,92,92,367,338,15,14
경상남도,통영시,계,483,17,17,50,50,416,398,10,8
경상남도,통영시,남,37,0,0,6,6,31,31,0,0
경상남도,통영시,여,446,17,17,44,44,385,367,10,8
경상남도,하동군,계,177,7,7,19,19,151,147,0,4
경상남도,하동군,남,1,0,0,0,0,1,1,0,0
경상남도,하동군,여,176,7,7,19,19,150,146,0,4
경상남도,함안군,계,299,7,7,58,58,234,220,9,5
경상남도,함안군,남,18,1,1,3,3,14,14,0,0
경상남도,함안군,여,281,6,6,55,55,220,206,9,5
경상남도,함양군,계,152,8,8,30,30,114,112,1,1
경상남도,함양군,남,6,0,0,2,2,4,4,0,0
경상남도,함양군,여,146,8,8,28,28,110,108,1,1
경상남도,합천군,계,147,10,10,24,24,113,113,0,0
경상남도,합천군,남,3,0,0,2,2,1,1,0,0
경상남도,합천군,여,144,10,10,22,22,112,112,0,0
경상북도,소계,계,"7,689",209,209,"1,049","1,049","6,431","6,154",164,113
경상북도,소계,남,629,4,0,110,0,515,0,0,0
경상북도,소계,여,"7,060",205,0,939,0,"5,916",0,0,0
경상북도,경산시,계,783,18,18,97,97,668,631,29,8
경상북도,경산시,남,114,0,0,21,21,93,92,1,0
경상북도,경산시,여,669,18,18,76,76,575,539,28,8
경상북도,경주시,계,877,23,23,115,115,739,692,29,18
경상북도,경주시,남,109,0,0,12,12,97,94,3,0
경상북도,경주시,여,768,23,23,103,103,642,598,26,18
경상북도,고령군,계,133,7,7,15,15,111,110,1,0
경상북도,고령군,남,3,0,0,0,0,3,3,0,0
경상북도,고령군,여,130,7,7,15,15,108,107,1,0
경상북도,구미시,계,"1,028",19,19,165,165,844,783,32,29
경상북도,구미시,남,107,2,2,16,16,89,87,0,2
경상북도,구미시,여,921,17,17,149,149,755,696,32,27
경상북도,군위군,계,75,5,5,3,3,67,65,2,0
경상북도,군위군,남,2,0,0,0,0,2,2,0,0
경상북도,군위군,여,73,5,5,3,3,65,63,2,0
경상북도,김천시,계,329,11,11,44,44,274,261,6,7
경상북도,김천시,남,21,0,0,5,5,16,16,0,0
경상북도,김천시,여,308,11,11,39,39,258,245,6,7
경상북도,문경시,계,204,4,4,16,16,184,179,2,3
경상북도,문경시,남,8,0,0,2,2,6,6,0,0
경상북도,문경시,여,196,4,4,14,14,178,173,2,3
경상북도,봉화군,계,134,4,4,21,21,109,108,1,0
경상북도,봉화군,남,2,0,0,0,0,2,2,0,0
경상북도,봉화군,여,132,4,4,21,21,107,106,1,0
경상북도,상주시,계,322,20,20,38,38,264,261,2,1
경상북도,상주시,남,11,0,0,3,3,8,8,0,0
경상북도,상주시,여,311,20,20,35,35,256,253,2,1
경상북도,성주군,계,177,8,8,10,10,159,152,4,3
경상북도,성주군,남,3,0,0,0,0,3,3,0,0
경상북도,성주군,여,174,8,8,10,10,156,149,4,3
경상북도,안동시,계,426,11,11,48,48,367,354,8,5
경상북도,안동시,남,25,0,0,4,4,21,21,0,0
경상북도,안동시,여,401,11,11,44,44,346,333,8,5
경상북도,영덕군,계,130,3,3,17,17,110,109,0,1
경상북도,영덕군,남,2,0,0,1,1,1,1,0,0
경상북도,영덕군,여,128,3,3,16,16,109,108,0,1
경상북도,영양군,계,93,3,3,10,10,80,77,0,3
경상북도,영양군,남,1,0,0,0,0,1,1,0,0
경상북도,영양군,여,92,3,3,10,10,79,76,0,3
경상북도,영주시,계,294,11,11,20,20,263,259,3,1
경상북도,영주시,남,5,0,0,0,0,5,5,0,0
경상북도,영주시,여,289,11,11,20,20,258,254,3,1
경상북도,영천시,계,340,5,5,50,50,285,276,5,4
경상북도,영천시,남,28,0,0,1,1,27,27,0,0
경상북도,영천시,여,312,5,5,49,49,258,249,5,4
경상북도,예천군,계,182,8,8,12,12,162,157,1,4
경상북도,예천군,남,6,0,0,1,1,5,5,0,0
경상북도,예천군,여,176,8,8,11,11,157,152,1,4
경상북도,울릉군,계,12,0,0,4,4,8,8,0,0
경상북도,울릉군,남,1,0,0,1,1,0,0,0,0
경상북도,울릉군,여,11,0,0,3,3,8,8,0,0
경상북도,울진군,계,132,3,3,20,20,109,109,0,0
경상북도,울진군,남,7,0,0,1,1,6,6,0,0
경상북도,울진군,여,125,3,3,19,19,103,103,0,0
경상북도,의성군,계,193,5,5,31,31,157,156,0,1
경상북도,의성군,남,6,0,0,3,3,3,3,0,0
경상북도,의성군,여,187,5,5,28,28,154,153,0,1
경상북도,청도군,계,126,10,10,13,13,103,100,2,1
경상북도,청도군,남,5,1,1,1,1,3,3,0,0
경상북도,청도군,여,121,9,9,12,12,100,97,2,1
경상북도,청송군,계,103,6,6,8,8,89,89,0,0
경상북도,청송군,남,3,0,0,1,1,2,2,0,0
경상북도,청송군,여,100,6,6,7,7,87,87,0,0
경상북도,칠곡군,계,488,6,6,64,64,418,370,30,18
경상북도,칠곡군,남,57,0,0,7,7,50,48,0,2
경상북도,칠곡군,여,431,6,6,57,57,368,322,30,16
경상북도,포항시 남구,계,590,7,7,118,118,465,458,4,3
경상북도,포항시 남구,남,45,1,1,11,11,33,33,0,0
경상북도,포항시 남구,여,545,6,6,107,107,432,425,4,3
경상북도,포항시 북구,계,518,12,12,110,110,396,390,3,3
경상북도,포항시 북구,남,58,0,0,19,19,39,38,1,0
경상북도,포항시 북구,여,460,12,12,91,91,357,352,2,3
광주광역시,소계,계,"3,379",95,95,525,525,"2,759","2,629",65,65
광주광역시,소계,남,337,5,0,41,0,291,0,0,0
광주광역시,소계,여,"3,042",90,0,484,0,"2,468",0,0,0
광주광역시,광산구,계,"1,354",23,23,229,229,"1,102","1,024",42,36
광주광역시,광산구,남,148,2,2,8,8,138,132,4,2
광주광역시,광산구,여,"1,206",21,21,221,221,964,892,38,34
광주광역시,남구,계,433,17,17,63,63,353,339,4,10
광주광역시,남구,남,47,0,0,8,8,39,37,0,2
광주광역시,남구,여,386,17,17,55,55,314,302,4,8
광주광역시,동구,계,166,4,4,30,30,132,129,0,3
광주광역시,동구,남,16,1,1,4,4,11,10,0,1
광주광역시,동구,여,150,3,3,26,26,121,119,0,2
광주광역시,북구,계,921,30,30,130,130,761,733,15,13
광주광역시,북구,남,72,2,2,10,10,60,60,0,0
광주광역시,북구,여,849,28,28,120,120,701,673,15,13
광주광역시,서구,계,505,21,21,73,73,411,404,4,3
광주광역시,서구,남,54,0,0,11,11,43,42,1,0
광주광역시,서구,여,451,21,21,62,62,368,362,3,3
대구광역시,소계,계,"5,010",161,161,652,652,"4,197","3,930",176,91
대구광역시,소계,남,661,4,0,89,0,568,0,0,0
대구광역시,소계,여,"4,349",157,0,563,0,"3,629",0,0,0
대구광역시,남구,계,326,11,11,42,42,273,258,7,8
대구광역시,남구,남,43,1,1,6,6,36,33,1,2
대구광역시,남구,여,283,10,10,36,36,237,225,6,6
대구광역시,달서구,계,"1,337",71,71,156,156,"1,110",998,78,34
대구광역시,달서구,남,197,1,1,29,29,167,162,3,2
대구광역시,달서구,여,"1,140",70,70,127,127,943,836,75,32
대구광역시,달성군,계,650,14,14,94,94,542,503,29,10
대구광역시,달성군,남,83,0,0,9,9,74,73,1,0
대구광역시,달성군,여,567,14,14,85,85,468,430,28,10
대구광역시,동구,계,660,14,14,92,92,554,531,12,11
대구광역시,동구,남,74,0,0,14,14,60,59,0,1
대구광역시,동구,여,586,14,14,78,78,494,472,12,10
대구광역시,북구,계,791,18,18,122,122,651,635,11,5
대구광역시,북구,남,81,0,0,11,11,70,69,0,1
대구광역시,북구,여,710,18,18,111,111,581,566,11,4
대구광역시,서구,계,640,18,18,62,62,560,506,35,19
대구광역시,서구,남,66,2,2,1,1,63,62,0,1
대구광역시,서구,여,574,16,16,61,61,497,444,35,18
대구광역시,수성구,계,454,13,13,64,64,377,369,4,4
대구광역시,수성구,남,98,0,0,17,17,81,81,0,0
대구광역시,수성구,여,356,13,13,47,47,296,288,4,4
대구광역시,중구,계,152,2,2,20,20,130,130,0,0
