국적명,성별,전문학사(D-2-1),학사유학(D-2-2),석사유학(D-2-3),박사유학(D-2-4),연구유학(D-2-5),교환학생(D-2-6),일-학습연계 유학(D-2-7),단기유학(D-2-8),대학부설어학원연수(D-4-1),외국어연수(D-4-7)
카  타  르,여,0,0,0,0,0,0,0,0,0,0
몰  디  브,남,0,0,0,1,0,0,0,0,0,0
몰  디  브,여,0,0,1,0,0,0,0,0,0,0
미      국,남,5,78,120,36,0,113,9,30,55,0
미      국,여,12,96,46,4,0,322,2,95,96,0
캐  나  다,남,0,10,19,3,0,27,1,2,9,1
캐  나  다,여,0,11,7,3,0,50,2,3,19,0
브  라  질,남,0,26,27,2,2,4,9,1,18,0
브  라  질,여,0,26,11,0,0,20,5,3,35,0
멕  시  코,남,0,8,14,5,0,36,1,1,6,0
멕  시  코,여,0,15,12,3,0,67,8,0,23,0
페      루,남,0,5,5,5,0,2,2,0,2,0
페      루,여,0,17,14,1,0,5,4,0,13,0
아르헨티나,남,0,4,3,0,0,1,1,0,3,0
아르헨티나,여,1,1,0,0,0,2,3,0,5,0
콜 롬 비 아,남,0,12,12,2,0,4,2,0,9,0
콜 롬 비 아,여,0,15,9,1,0,9,7,0,13,0
에 콰 도 르,남,0,10,34,6,0,0,2,0,6,0
에 콰 도 르,여,0,30,26,2,0,3,4,0,8,0
칠      레,남,0,0,3,1,0,3,1,0,1,0
칠      레,여,0,4,7,3,0,3,9,0,3,0
파 라 과 이,남,0,5,0,0,0,0,0,0,4,0
파 라 과 이,여,0,9,3,0,0,0,2,1,6,0
베네수엘라,남,0,4,1,0,0,0,0,0,5,0
베네수엘라,여,0,9,2,0,0,0,3,0,7,0
과 테 말 라,남,0,3,7,8,0,1,1,0,2,0
과 테 말 라,여,0,4,6,1,0,1,0,0,3,0
코스타리카,남,0,2,5,0,0,0,1,0,1,0
코스타리카,여,0,1,6,1,0,0,0,0,1,0
온 두 라 스,남,0,1,3,0,0,0,2,0,1,0
온 두 라 스,여,0,1,4,0,0,0,2,0,2,0
도미니카공화국,남,0,2,0,1,0,1,1,0,1,0
도미니카공화국,여,0,7,6,0,0,2,3,0,2,0
볼 리 비 아,남,0,4,3,0,0,0,0,1,2,0
볼 리 비 아,여,0,11,2,0,0,1,0,0,2,0
파  나  마,남,0,5,1,0,0,0,2,0,0,0
파  나  마,여,0,3,2,0,0,0,4,1,5,0
엘살바도르,남,0,1,3,0,0,0,0,0,3,0
엘살바도르,여,0,7,6,1,0,0,2,0,3,0
자 메 이 카,남,0,0,4,0,0,0,0,0,0,0
자 메 이 카,여,0,1,9,0,0,0,0,0,0,0
니 카 라 과,남,0,0,1,0,0,0,0,0,0,0
니 카 라 과,여,0,0,5,0,0,0,1,0,2,0
우 루 과 이,남,0,0,0,1,0,0,2,0,0,0
우 루 과 이,여,0,2,1,0,0,0,1,0,3,0
아  이  티,남,0,1,8,0,0,0,0,0,0,0
아  이  티,여,0,0,1,0,0,0,0,0,1,0
쿠      바,남,0,0,0,0,0,0,0,0,0,0
쿠      바,여,0,1,1,0,0,0,0,0,0,0
