state,state2,발생건수,death,부상자수,중상자수,경상자수,부상신고자수
전북,익산시,125,5,205,36,162,7
전북,임실군,7,2,9,5,2,2
전북,장수군,2,0,2,1,1,0
전북,전주시,360,6,653,91,533,29
전북,정읍시,44,2,76,15,52,9
전북,진안군,7,0,8,2,6,0
제주,서귀포시,110,3,165,37,113,15
제주,제주시,225,4,355,59,253,43
충남,계룡시,6,0,11,4,6,1
충남,공주시,77,2,128,29,84,15
충남,금산군,27,0,38,14,22,2
충남,논산시,78,2,127,41,76,10
충남,당진시,145,11,228,80,142,6
충남,보령시,74,7,121,33,77,11
충남,부여군,22,0,33,16,17,0
충남,서산시,111,4,172,58,103,11
충남,서천군,38,3,64,17,43,4
충남,아산시,209,11,346,61,237,48
충남,예산군,48,2,64,20,38,6
충남,천안시,480,5,811,167,593,51
충남,청양군,25,2,36,14,20,2
충남,태안군,54,5,86,39,40,7
충남,홍성군,66,2,101,24,70,7
충북,괴산군,21,0,41,8,29,4
충북,단양군,15,0,26,6,17,3
충북,보은군,13,1,16,3,10,3
충북,영동군,20,1,22,10,12,0
충북,옥천군,20,0,32,15,15,2
충북,음성군,84,3,140,46,92,2
충북,제천시,93,1,151,32,106,13
충북,증평군,17,0,30,4,21,5
충북,진천군,67,3,109,29,77,3
충북,청주시,461,3,841,170,639,32
충북,충주시,114,1,212,44,140,28
