state,state2,발생건수,death,부상자수,중상자수,경상자수,부상신고자수
전북,무주군,9,10,2,1,1,0
전북,부안군,12,12,5,3,2,0
전북,순창군,14,14,8,0,8,0
전북,완주군,24,24,10,1,9,0
전북,익산시,41,42,14,7,7,0
전북,임실군,8,8,7,4,3,0
전북,장수군,9,10,3,3,0,0
전북,전주시,52,54,12,4,7,1
전북,정읍시,27,27,10,3,7,0
전북,진안군,9,9,2,1,1,0
제주,서귀포시,30,31,8,6,2,0
제주,제주시,48,49,22,8,14,0
충남,계룡시,1,1,0,0,0,0
충남,공주시,23,26,27,19,8,0
충남,금산군,12,12,8,2,6,0
충남,논산시,32,34,20,10,8,2
충남,당진시,31,33,17,12,5,0
충남,보령시,22,24,8,2,6,0
충남,부여군,12,12,4,2,2,0
충남,서산시,30,30,17,6,11,0
충남,서천군,16,16,19,7,12,0
충남,아산시,50,51,20,14,6,0
충남,예산군,23,24,10,3,7,0
충남,천안시,48,49,42,21,21,0
충남,청양군,11,11,2,1,0,1
충남,태안군,14,14,2,1,1,0
충남,홍성군,13,14,7,4,3,0
충북,괴산군,15,15,9,8,1,0
충북,단양군,8,9,45,2,43,0
충북,보은군,18,19,19,10,8,1
충북,영동군,11,12,8,5,3,0
충북,옥천군,10,10,9,3,6,0
충북,음성군,20,21,29,12,17,0
충북,제천시,13,13,2,2,0,0
충북,증평군,4,4,2,1,0,1
충북,진천군,16,17,3,1,2,0
충북,청주시,66,67,26,6,20,0
충북,충주시,42,43,74,34,36,4
